Response_ID,OpenChanges,Polarity,Subjectivity
14,I would like the old shaco back.,0.05,0.1
44,Revert Lethal Tempo to its previous version,-0.16666666666666666,0.16666666666666666
47,Revert the game back to Season 3,-0.2,0.2
97,I would revamp a ton of old champs with ASUs. I would make Trundle's R more visibly apparent. I would make Zeri's R stacks fall off about 1 second later.,0.13,0.20999999999999996
3,"Reduce the amount of dashes, cc and overall overloaded kit they release each month with a new champion",0.06818181818181818,0.22727272727272727
19,"Bring back all the game modes that have ever existed. 3v3 (first map), doom bots, 2v2... And turbo nerf jungle in SR.",-0.05000000000000001,0.24444444444444446
37,I think removing Mythics should hopefully move us back towards how it was in S10 and earlier.,0.0,0.25
109,I would give Quinn some more attack speed back on her W passive,0.25,0.25
124,Rework most old champions like Corki or Zilean to bring them at least visually on par with the newest champions,0.075,0.275
17,"Give ADCs more SoloQ agency, less pro agency",0.16666666666666669,0.2833333333333333
79,I'd tone down dps.,-0.15555555555555556,0.2888888888888889
31,Make bigger changes with less frequent patches,-0.022222222222222216,0.2888888888888889
129,Fix the mmr and tone down jungle a bit ,-0.15555555555555556,0.2888888888888889
115,Toning down the bounty system,-0.15555555555555556,0.2888888888888889
60,"Disincentivize early fights botlane, or nerf their snowballing impact.",0.1,0.3
25,"Revert item changes. Bring back old Swain. Bring back duo q in high elo ranked. Add voice coms to league, players can opt in or out. Make rewards for playing the game feel more meaningful.",0.12285714285714286,0.3057142857142857
54,"Reduce Jg & Adc impact and transfer that impact to solo laners, as Mid is more of a second supp and top is just ADC peel, usually ending in better Adc with most protection wins",0.25625,0.30625
62,Slow the game pace down,-0.2851851851851852,0.362962962962963
130,"I'd change the constant dashes, increasing their cooldown/costs. Same kind of big haul like durablity patch and lifesteal/omnivamp nerf.",0.15,0.36458333333333337
5,"I would give everyone 2 bans instead of one, there is too many bullshit champions introduced in the recent years.",0.25,0.375
98,"I would change how collision-based CC (Gragas stun, Jarvan Knockup, etc) interact with each other. ",-0.125,0.375
9,"buff sona's ap ratios to reward high-risk high-reward playstyle to boost skill expression, nerf other stuff so she doesn't become broken.",-0.2625,0.3875
13,"Bring back snowballing, the bounty system has led to snowballing becoming hard. The game is way to much about making 0 mistakes at all, which takes a lot of effort.",-0.008333333333333337,0.3983333333333333
80,I would reduce all damage in the game,-0.4,0.4
7,"I have no clue, not a game designer nor do i know how to balance a game",-0.1,0.4
51,Delete Pantheon and Tryndamere from the game ,-0.4,0.4
15,Stop catering the game to braindead shitskins.,-0.4,0.4
116,lower support's gold and agency. Support gaining power took power from the solo laners. It's just how game design works in a team based game.,-0.4,0.4
88,"Remove Zed and Duskblade from the game, remove ranks and return to ELO system",-0.4,0.4
49,"just fix top lane, so people dont have to get lane frozen and zoned since 5 minutes for 20 minutes when they make 1 mistake early",0.3,0.4
101,Remove Yuumi from the game.,-0.4,0.4
33,Directly monitored diamond+ games,0.1,0.4
1,I would force every player to uninstall the game forever ,-0.4,0.4
126,More beginner friendly. And more 'fun' game modes.,0.255,0.42000000000000004
32,"Punish toxicity in the community - If you AFK a ranked after flaming, 2 week ban, If you AFK multiple times, 2 week ban - Bans should be tied to hardware/IP rather than accounts, it's too easy to just make a new account",0.1898989898989899,0.4292929292929293
73,"I would remove turret plates from the game, their addition was honestly a mistake; I would also not greenlight the season 14 void grubs... that change is just going to either push bot lane to mid lane or make it so play is skewed towards split pushing; red buff used to burn turrets over time like void grubs will do and they removed it because it caused problems with turrets dying too fast. I believe the upcoming season 14 map changes are an awful change overall, and I don't understand why they decide to isolate top even more and make bot a gank fiesta 24/7.",0.04444444444444443,0.43333333333333335
78,"Turn the cooldowns way down, sustain down, burstiness down. Make the game much more slow paced and methodical. If I wanted to play a bursty, fast paced game, I'd play a battle royale, not a fucking moba.",-0.06296296296296296,0.44074074074074077
142,"Delete Chat [keeping Time Stamps], Improve Ping System, Add a new role ""True Random"" where they actually queue you for a random role (no. Fill isnt random)o",-0.10272727272727274,0.4409090909090909
46,"I wouldnt mind getting a tiny bit more xp as a jungler. Feels a bit overnerfed, specially after next season I think junglers are gonna have a bad time",0.03142857142857147,0.44761904761904764
132,"I would balance the game a bit more around pro-play. I'd love to see variety in highest quality gameplay. For example, I'd consider it a balancing failure that a champ like Teemo can have 0 presence in pro play for years.",0.07083333333333333,0.45
4,I would like fights and lane phases to last longer (meaning a longer laning phase where laners face each other). More neutral objectives like in Hots. A champion rotation like in  MTGArena (imo there's too many champions in the game to balance effectively. I'd rather have a certain set of champions (~50 maybe?) available at a time).,0.21116071428571426,0.4516369047619047
71,I would improve the new player experience,0.13636363636363635,0.45454545454545453
141,I would improve the new player experience.,0.13636363636363635,0.45454545454545453
90,"As a jungle main, I would rework my role out of existence. The Jungler, as a role, being a thing has been oh so subtly parasitic for the entire game's lifespan in a way that I don't think is healthy anymore. (e.g. jungle getting reworked every season)",-0.01333333333333333,0.4716666666666667
21,"I would be able to view character abilities in loading screen and in game to more easily learn champions. I would have better training options to fight with and against champions and specific items. I would have more comprehensive stat and item breakdowns in and out of game. I would have more information regarding all aspects of the game, for example I cannot find any information on how much xp or gold minions or monsters or champ kills are worth as a laner or jungler. I would fix the game client. I would add more game types, especially quicker game types like nexus (even thought it had its issues it was an easy stress free way to play the game and test champions in my role)",0.09833333333333336,0.4908333333333334
74,I would change Corki's kit so that he could be more viable.,0.5,0.5
114,i would make toplane have more impact,0.5,0.5
95,"Make safe assassins (Fizz, Zed, LB) have higher cooldowns on their abilities",0.375,0.5
72,I would make some of the tank supports have more durability.,0.5,0.5
75,"Kill Hullbreaker, reduce cdr across all items, give towers either more damage or more tankiness, lower Irelia ms by 5",0.5,0.5
136,more gamemodes,0.5,0.5
20,"Custom maps, Custom announcers, perma bans for toxic people, better griefing detection, better communication of news, better skins",0.5,0.5
128,I'd like more Agency for the Botlane,0.5,0.5
87,"Remove ranked splits, some of us don’t have time to do placements 3 times a year. Try to make more abilities interactive (Akali shroud and Yone e come to mind)",0.5,0.5
137,I would try to make mid a more important role in the hopes of taking focus from the ADC role,0.3,0.5
42,If someone feeds their ass off they should lose way more lp.,0.5,0.5
6,"Bring back the potential to carry, reduce bounties, FIXING THE CLIENT",0.0,0.5
56,"MMR/Ranked System ((reliability of) match making), Punishment system (modernised, updating tribunal system with comprehensive options of reporting a player, report of a Honour 5 tribunal member would trigger a message directed to a Riot Support employee to review the report sheet (format) to ban sb. faster and more effectively -> providing utility for Honour 5 players), Promotion games should be re-instituted for only Diamond+ (every tier from Emerald 1 100LP to D1 100 LP), negative LP gain issue should be solved, if ranked restricted you should play to WIN 5 games instead of playing just 5 games, rank 1 or/and top 10 rank players should receive money (potential review to become a pro player), punish jungle ganks more (e.g.: team jungler should be able to punish the enemy jungler by leaving one kurg or one wolf alive so it doesn't reset, junglers should get way less XP and Gold from minions), support roams should be punished if they fail (e.g.: sup item is tied to the bot lane partner, so if they roam and either die or non-bot laner in proximity dies, they should be punished with a timer of less XP/Gold, sup damage should be nerfed across the board but their shields, heals and cc should be buffed (let ADC do the damage during laning and sup should do mosquito bites)), make ADCs XP gain different than from any other role by potentially buffing it but still make it gain slightly less than mid jungle top (sup should maintain current xp sharing disadv without any changes)",0.04431818181818182,0.5136363636363637
26,1: Make new champions not be overpowered on release every. god. damn. time. 2: Remove invulnerability from assassins and pantheon. Bard ult and zhonia is plenty and comes with a payoff. We dont need panth who can tower dive 1v5 and survive with 100% hp. 3: nerf assassins in general. 4: Make ap scaling higher again (or nerf AD amount that AD champs can obtain). When AD champs could only reach about 50-70% of what AP champs could the scaling was OP but now that AD champs can get more AD than AP champs can get AP it just makes AP feel useless. 5: Stop nerfing orange essence/making rp more expensive/nerfing mythical essence value.,0.13376623376623378,0.5220779220779221
11,i want the playerbase to have a better mental and self reflect more...   yea there are bad t-mates but you just have to deal with it and continue playing instead of complaining on forms.  REMEMBER you are not the only one getting the bad t-mates and the pro player has proly gone through the same thing as they did.,-0.07142857142857138,0.5226190476190476
77,"revert jgl exp nerfs, also uncap attack speed and make marksman items and role more about high attack speed/orb walking skill rather than high dmg autos",0.2733333333333334,0.5266666666666667
108,"I dont like how strong top/jungle often is in low elo. Especially as ADC/bot it feels frustrating being steamrolled by a toplane bruiser that got slightly more. Even if you did okayish in lane, its often really hard in mid game to do anything",-0.019791666666666673,0.546875
89,"I'd make a Winter map, Halloween map, fall map etc. make as many as possible and rotate them very often, also I'd make the RGM(rotating game mode) switch every week ",0.07499999999999998,0.55
57,I'd give Nunu a mythic skin lol (Can't think of any changes I'd make to the game itself),0.2,0.55
76,"Nothing tbh, can't really find anything that's wrong with it",-0.15,0.55
16,"I would make a better client, meaning one that doesn't bug, that has a normal matchmaking and permaban for trollers; a client that is fast and reliable even after the new patches get released",0.2465909090909091,0.5511363636363636
40,"1. Rework / revert the entire champion stats and items and modify the rune table. What i mean by that is to pretty much revert the items to pre-mythic era, introduce more items, and for the runes, nerf the fk out of lethal tempo (turbo broken) and slighly buff or modify conq as well as add more runes (ex conq without extra damage only healing)...",0.08194444444444443,0.5569444444444445
45,"Heavily nerf Akali E damage in return for being able to Q during E and buff her passive, hopefully with energy refund on champion hit, but if that's too much then however much damage would make up for gutting E. Remove hullbreaker. Change balance philosophy to allowing a perfectly played hard champion to be more effective than a perfectly played simple one. It's okay for Garen to be weak in D+ like it's okay for Lee sin to be weak in Bronze. ",0.26845238095238094,0.5695578231292516
85,"Re-evaluation of certain champions kits’ enjoyment of playing against (not power level) EXs: Yasuo, Yone, Zed, Vlad",0.21428571428571427,0.5714285714285714
23,"Not sure if this is what you're looking for, but I would bring back Co-op modes like Odyssey as rotating game modes to foster the casual player base and serve as an entryway for new players to try the game mechanics",-0.3162337662337662,0.5728715728715729
84,Heavily reduce ability haste or severely reduce non attributable true damage (30% of damage taken being passively from items is not it),0.07499999999999998,0.575
48,Purge solo que of persons who troll and don't take the competitive environment seriously. Make matchmaking more consistent and accurate and make LP gain/losses more fair.,0.3361111111111111,0.575
69,Work on making certain counter pick matchups for very hard lanes easier so counter picking isn't so op top lane,0.11170634920634918,0.5918650793650794
65,"make new champions be required to play 10 games in normal quickplay/draft before being able to be used in ranked. This will only be in effect while the new champion has an increased price of 7800, when it gets reduced to 6300 the 10 game requirement is removed",0.08712121212121211,0.5973484848484848
100,Bring back twisted treeline :). But in reality I like the place that the game is in,-0.1,0.6
68,I would try and decrease the importance of bot lane and the feeling of having to only gank bot lane as jungle to win the game.,0.13333333333333333,0.6
140,"Too late, nothing will save it",-0.3,0.6
61,revert the Rammus q change from years ago so using active items doesn't interrupt it anymore,-0.13333333333333333,0.6
113,"Shift impacts of Roles around, so they are more evenly balanced (announced Preaseason changes are a very good start)",0.705,0.6400000000000001
121,"idk how to fix, but the Lp loss and win ratio is crazy if ure mmr is fucked. That woud be smth to be changed",-0.1333333333333333,0.6666666666666666
43,Only top laners should be able to use the teleport summoner spell ,0.3333333333333333,0.7083333333333334
18,"I make better tutorials for beginners and intermediate players. Also, I'd buff Vel'koz :P",0.625,0.75
94,Rework or remove Vision denial skills such as Graves' Smokescreen or Nocturne's Ultimate,0.0,0.75
93,More unique rotating gamemodes,0.4375,0.75
106,"Remove jungle and make adc decide the winning bot lane, not supports.",0.5,0.75
133,ADCs not having any outplay potential from certain champions (EX: assassins),0.10714285714285714,0.7857142857142857
134,"Rework frustrating to play against abilities. Invulnerable, stealth. Like fizz, Evelynn shaco, zed range.",-0.4,0.9
50,"Make your visible rank matter.  Silvers should fight silvers, golds should fight golds.....etc",-0.8,0.9
119,I would reduce the amount of uninterruptible Skills (e.g. Sett Ultimate and W),0.0,1.0
96,"Jungle should be reworked, enemy jungle sitting a lane for 10 min shouldnt be a thing, the amount of tempo given is ridiculous.",-0.3333333333333333,1.0
41,"remove hullbreaker, nerf magic resist, remove mythics",0.5,1.0
